,APE_raw
0,0.17151074711682915
1,0.1391411242643522
2,0.09984581501988536
3,0.053163675758051795
4,0.018756324926035572
5,0.05307812285685742
6,0.0975105542910945
7,0.13681992800560236
8,0.1762524306268219
9,0.2093451999781408
10,0.2407943753876154
11,0.2648129747581433
12,0.27038458174137353
13,0.25134298446419745
14,0.21554414280844816
15,0.17627602015328744
16,0.1329283187665415
17,0.08645061755906853
18,0.04979627111328172
19,0.044046944752490436
20,0.07105021840193981
21,0.10053514983041506
22,0.12620264097829112
23,0.14994934205544533
24,0.1723187188227387
25,0.19051462676200126
26,0.20884659108360734
27,0.22904599000129214
28,0.244610111759798
29,0.2568400773634492
30,0.26205063902545966
31,0.24797778436426432
32,0.22247079796959615
33,0.1881432557618993
34,0.15375257965772388
35,0.12233795287356762
36,0.09221382968072009
37,0.06930930268010979
38,0.05888626773925034
39,0.0669121068125627
40,0.09248212113237893
41,0.12474566618174332
42,0.15852754677494713
43,0.1892244098118546
44,0.21613577564186098
45,0.24097333022556908
46,0.25976690533529817
47,0.2596449217560216
48,0.24260197667095335
49,0.21222459959976006
50,0.176142316170619
51,0.13829604967351827
52,0.09754790327265454
53,0.059005376037371576
54,0.045162004275177824
55,0.06667536390406513
56,0.10210663116431935
57,0.13246576347274105
58,0.15820218629217236
59,0.1874138590339807
60,0.22143801529686283
61,0.24861435992166586
62,0.26043879477342974
63,0.2512045382485237
64,0.22509078754936532
65,0.18617539988841206
66,0.14181531953263168
67,0.10025718877174326
68,0.06338069198860524
69,0.028249239709872597
70,0.03283547983601474
71,0.07274407050670059
72,0.1166724031281289
73,0.1527864421572271
74,0.18719388496373665
75,0.21629327886186198
76,0.23790747053445488
77,0.24201594959108516
78,0.22339841946390135
79,0.19359531059172264
80,0.15008193041411158
81,0.10234933976558808
82,0.04904767409250717
83,0.01980419517317498
84,0.06476377248995903
85,0.11002653609712343
86,0.14547947968553984
87,0.1721690979737767
88,0.17888202686631327
89,0.1760869370594121
90,0.16740458088055957
91,0.1616182606269125
92,0.15382356280362083
93,0.14998416800205827
94,0.1548517743139572
95,0.17117513524249187
96,0.19544293581835204
97,0.22096946459677025
98,0.2536446112279761
99,0.2888516623441049
100,0.32164320844887023
101,0.34626244082086244
102,0.35401968751710555
103,0.3431399772825522
104,0.31831732779646915
105,0.2843004280979786
106,0.24684840312014902
107,0.20636419498435732
108,0.1710458928402888
109,0.14043214105472976
110,0.1135095546907192
