,APE_opt
0,0.14957727983250568
1,0.11618464834723767
2,0.07618449157766913
3,0.030431520512544122
4,0.03395663585347992
5,0.07778367826142708
6,0.12554783974118489
7,0.16664198467620256
8,0.20784372200043819
9,0.2426487559081868
10,0.2745964800815609
11,0.2989668951096527
12,0.30588918051439923
13,0.28757687760872835
14,0.2515799196995377
15,0.211954421577
16,0.16798299970808092
17,0.12036013422687256
18,0.07379415344473317
19,0.02948522552407867
20,0.012788934165827973
21,0.04387978184977908
22,0.07081018279809126
23,0.09480266391141796
24,0.11822447694088448
25,0.13651194216130955
26,0.15334881780300108
27,0.172922413802396
28,0.18658954497307143
29,0.19743783915651072
30,0.20054289122685834
31,0.18805004682827567
32,0.16008946590300666
33,0.1269153702003861
34,0.09119089539221381
35,0.05939370520173087
36,0.023726754225993654
37,0.0232697504956568
38,0.05121434850927779
39,0.08231587955000935
40,0.11968340016805033
41,0.1563213894714431
42,0.1909580529231757
43,0.22204115836643334
44,0.24944339146202013
45,0.2737562151467491
46,0.2919788163783689
47,0.2907425654315195
48,0.2723450271587837
49,0.24102100896137493
50,0.20360784062706197
51,0.16239017243485382
52,0.11875448706131661
53,0.07426252718876233
54,0.04355039175155412
55,0.049626479089757564
56,0.08348571343402048
57,0.1140094305367808
58,0.13760707884526724
59,0.16826689299089642
60,0.2025912044902797
61,0.22999641279577046
62,0.24206069276227146
63,0.23410833141960946
64,0.20921247914563645
65,0.1715982503244093
66,0.1284194883324979
67,0.08940265571571591
68,0.056317809507553065
69,0.03174919969529123
70,0.045476118261751776
71,0.08341060150565081
72,0.1265018202424323
73,0.16103837877946073
74,0.19357361747693888
75,0.22028362980004224
76,0.2393341991901348
77,0.2429743807273848
78,0.22295063590027
79,0.19123681469206263
80,0.14709021209248402
81,0.09821784126201115
82,0.04600319240079897
83,0.020571660991217263
84,0.06676399145412532
85,0.11285553971872546
86,0.14732014044596628
87,0.17337002871638552
88,0.17965242375749174
89,0.17559465357691542
90,0.16472115645139707
91,0.15634038493056895
92,0.14718055862895724
93,0.14136720787325685
94,0.14433461771406333
95,0.15785601625720153
96,0.18022000292151488
97,0.20571751506608232
98,0.2406962478788741
99,0.2754333248071657
100,0.31103714542098804
101,0.3335765252301285
102,0.3397958797472705
103,0.32662855893007403
104,0.2992971799148752
105,0.2627194099900094
106,0.22159152199150448
107,0.1778359601569843
108,0.13977422550446184
109,0.10759354274970032
110,0.0808178874590138
111,0.06350232976037634
112,0.06661505341556499
113,0.09467467827395931
114,0.12677783257351014
115,0.1595257478040891
116,0.191379774701884
117,0.22753494110149503
118,0.2662539046712797
119,0.2971415427206177
120,0.31781511704344734
121,0.3269297505795386
122,0.3215282073925027
123,0.3026614124612086
124,0.27603705115108484
125,0.24316409506024128
126,0.20676403424678455
127,0.17132518959391482
128,0.12732208879752413
129,0.08431728078821396
130,0.041564146691633524
131,0.02267723715855112
132,0.05406884605008891
133,0.09311520678981476
134,0.13659652243326398
135,0.1801567124520626
136,0.22137152255400389
137,0.2584516185339511
138,0.28902987807358327
139,0.31625072936495513
140,0.3299598566882805
141,0.3239825556165545
142,0.3079038579059555
143,0.28111832396390524
